Date ,Shift,SPPH,Dump Truck,Exca,Tonase,Jam Dumping,Loading Point,Dumping Point,Jarak (m),Pengukuran,Jenis BB,Group,Status,Input Type,Input By,Nama Operator
9/25/2024,Shift 1,BAK,DT 3010-31 PAB,Exca 3010-20 PAB,29.5,58:45.8,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Ar-Rofi Aryan,Unknown Operator
9/25/2024,Shift 1,BAK,DT 3010-32 PAB,Exca 3010-20 PAB,29.5,58:36.6,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Ar-Rofi Aryan,Unknown Operator
9/25/2024,Shift 1,BAK,DT 3010-33 PAB,Exca 3010-20 PAB,29.5,22:21.8,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Ar-Rofi Aryan,Unknown Operator
9/25/2024,Shift 1,BAK,DT 3010-33 PAB,Exca 3010-20 PAB,29.5,20:00.0,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Dwi Miansyah,Ibnu Susanto
9/25/2024,Shift 1,BAK,DT 3010-34 PAB,Exca 3010-20 PAB,29.5,04:00.0,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Dwi Miansyah,Yulian Arnando
9/25/2024,Shift 1,BAK,DT 3010-35 PAB,Exca 3010-20 PAB,29.5,01:00.0,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Dwi Miansyah,Apri Yanto
9/25/2024,Shift 1,BAK,DT 3010-36 PAB,Exca 3010-20 PAB,29.5,22:12.9,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Ar-Rofi Aryan,Unknown Operator
9/25/2024,Shift 1,BAK,DT 3010-36 PAB,Exca 3010-20 PAB,29.5,20:00.0,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Dwi Miansyah,Supriadi
9/25/2024,Shift 1,BAK,DT 3010-37 PAB,Exca 3010-20 PAB,29.5,34:31.7,TS CCP,LS Lavender,15500,Bypass,MT 49,Group D,FOB MV,Checker,Ar-Rofi Aryan,Unknown Operator
9/25/2024,Shift 1,BAK,DT 3010-38 PAB,Exca 006 PIM,28.30619,21:23.5,TS Merbau,DH 5,3500,Beltscale,BTB 47,Group D,Rehandling Blok Timur,Checker,Beta Putra,Unknown Operator
