Date,Shift,SPPH,Dump Truck,Exca,Tonase,Jam Dumping,Loading Point,Dumping Point,Jarak (m),Pengukuran,Jenis BB,Group,Status,Input Type,Input By,Nama Operator
2024-09-24,Shift 1,SGJ1,DT 015 SGJ,Exca 007 SGJ,23.7,22:25:17.201,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 032 SGJ,Exca 007 SGJ,22.57,22:15:22.973,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 032 SGJ,Exca 007 SGJ,21.48,22:43:18.677,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 037 SGJ,Exca 007 SGJ,21.23,22:36:34.165,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 040 SGJ,Exca 007 SGJ,23.56,22:25:00.167,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 043 SGJ,Exca 007 SGJ,22.82,22:17:07.752,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 043 SGJ,Exca 007 SGJ,23.58,22:39:41.478,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 046 SGJ,Exca 007 SGJ,37.68,22:25:31.311,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 049 SGJ,Exca 007 SGJ,22.2,22:17:55.908,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 049 SGJ,Exca 007 SGJ,21.48,22:36:50.024,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 055 SGJ,Exca 007 SGJ,23.58,22:17:36.564,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ2,DT 055 SGJ,Exca 007 SGJ,23.84,22:36:04.389,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ3,DT 083 SGJ,Exca 007 SGJ,20.78,22:18:19.893,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SGJ3,DT 083 SGJ,Exca 007 SGJ,23.56,22:44:50.618,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Ade Triwibowo,Unknown Operator
2024-09-24,Shift 1,SPARE,DT 059 SGJ,Exca 007 SGJ,22.57,22:55:00.000,1A Ext,DH 4,2500,Timbangan,BTB 53,Group D,Rehandling Antar Stock Blok Timur,Checker,Dwi Miansyah,Unknown Operator
2024-09-24,Shift 2,BAK,DT 3010-38 PAB,Exca 006 PIM,27.37,09:54:00.000,TS Merbau,DH 5,3500,Beltscale,BTB 47,Group B,Rehandling Blok Timur,Checker,Yusuf Tarami,Unknown Operator
2024-09-24,Shift 2,BAK,DT 3010-38 PAB,Exca 006 PIM,27.37,10:35:00.000,TS Merbau,DH 5,3500,Beltscale,BTB 47,Group B,Rehandling Blok Timur,Checker,Yusuf Tarami,Unknown Operator
